HỆ THỐNG DỮ LIỆU MẠNG LƯỚI XE BUS & METRO TP.HỒ CHÍ MINH - MASTER DATA (CLOUD WEB APP),,,,,,,,,,,,,,
KPI MẠNG LƯỚI,TỔNG SỐ TUYẾN,,TUYẾN CÓ TRỢ GIÁ,,CỰ LY BÌNH QUÂN,,TỔNG LƯỢT CHUYẾN/NGÀY,,GIÁ VÉ PHỔ THÔNG TB,,GIÁ VÉ HSSV TB,,THỜI GIAN CHUYẾN TB,
CẬP NHẬT 2026,74,,67,,"19,7 km",,10.650 chuyến,,8.095 ₫,,5.338 ₫,,"57,9 phút",
route_id,route_name,operator_name,operator_phone,operation_type,is_subsidized,distance_km,capacity_seats,start_time,end_time,fare_regular_vnd,fare_student_vnd,trips_per_day,trip_duration_min,headway_min
162,Ga Thủ Đức - Chung cư Man Thiện - Ga Bình Thái,Cty Phương Trang,1900638494,Phổ thông,TRUE,"10,00",30,05:00,22:05,5.000 ₫,3.000 ₫,158,"30,0","12,5"
163D/V,Ga Bình Thái - THCS Phước Bình - Cao đẳng Công Thương,Cty Phương Trang,1900638494,Phổ thông,TRUE,"8,00",30,05:00,22:00,5.000 ₫,3.000 ₫,79,"25,0","12,5"
164D/V,ĐH Nông Lâm - Ga Metro KCNC - Chung cư Topaz,Cty Phương Trang,1900638494,Phổ thông,TRUE,"10,40",30,05:00,22:00,5.000 ₫,3.000 ₫,79,"35,0","12,5"
165,Đại học Nông Lâm - Khu Công nghệ cao,Cty Phương Trang,1900638494,Phổ thông,TRUE,"16,00",30,05:00,22:00,6.000 ₫,3.000 ₫,79,"60,0","12,5"
166,Đại học Quốc Gia - Suối Tiên,Cty Phương Trang,1900638494,Phổ thông,TRUE,"6,60",60,05:00,22:00,5.000 ₫,3.000 ₫,94,"20,0","11,5"
167D/V,ĐH Hutech - Ga KCNC - ĐH Kinh tế Luật - KCX Linh Trung 1,Cty Phương Trang,1900638494,Phổ thông,TRUE,"13,50",60,05:00,22:00,5.000 ₫,3.000 ₫,89,"55,0","11,0"
168D/V,ĐH Ngân Hàng - Ga Thủ Đức - Nhà Thiếu nhi TP Thủ Đức,Cty Phương Trang,1900638494,Phổ thông,TRUE,"6,10",30,05:00,22:00,5.000 ₫,3.000 ₫,79,"25,0","12,5"
169D/V,Ga Metro Bình Thái - Vincom Thủ Đức - Cảng Phúc Long,Cty Phương Trang,1900638494,Phổ thông,TRUE,"7,70",30,05:00,22:05,5.000 ₫,3.000 ₫,79,"25,0","12,5"
170,Bến xe buýt khu A - Bến xe buýt khu B (ĐH Quốc Gia),Cty Phương Trang,1900638494,Phổ thông,TRUE,"15,45",30,05:00,22:00,6.000 ₫,3.000 ₫,200,"45,0","11,5"
171,Bến xe Phú Chánh - TTHC Bình Dương - Bến Thành,Cty Phương Trang,1900638494,Phổ thông,FALSE,"46,00",60,05:00,20:00,40.000 ₫,40.000 ₫,68,"100,0","37,5"
172,Bến xe Vũng Tàu - TTHC Bà Rịa Vũng Tàu - Bến Thành,Cty Phương Trang,1900638494,Phổ thông,FALSE,"97,00",40,04:00,21:30,70.000 ₫,70.000 ₫,84,"195,0","30,0"
173,Trung tâm Côn Đảo - Cỏ Ống,Cty Tập đoàn Côn Đảo,0254-3830399,Phổ thông,FALSE,"17,10",30,04:15,19:00,25.000 ₫,25.000 ₫,120,"30,0","12,5"
18,Bến Thành - Chợ Hiệp Thành,Cty Phương Trang,1900638494,Phổ thông,TRUE,"22,73",60,04:30,22:00,6.000 ₫,3.000 ₫,180,"75,0","11,5"
19,Bến Thành - KCX Linh Trung - Đại học Quốc gia,HTX 19/5,18001557,Phổ thông,TRUE,"27,43",63,05:00,20:15,7.000 ₫,3.000 ₫,200,"80,0","10,0"
20,Bến Thành - Nhà Bè,Cty Vận tải 26,028-66832179,Phổ thông,TRUE,"16,93",50,04:20,21:15,6.000 ₫,3.000 ₫,300,"50,0","11,0"
22,Bến xe buýt Quận 8 - Bến xe buýt Lê Minh Xuân,Cty Phương Trang,1900638494,Phổ thông,TRUE,"24,90",30,04:20,21:00,6.000 ₫,3.000 ₫,138,"75,0","16,0"
23,Bến xe buýt Chợ Lớn - Ngã ba Giồng - Cầu Lớn,Cty Phương Trang,1900638494,Phổ thông,TRUE,"23,45",60,04:00,20:30,6.000 ₫,3.000 ₫,152,"75,0","12,5"
24,Bến xe Miền Đông - Hóc Môn,Cty Phương Trang,1900638494,Phổ thông,TRUE,"27,20",60,04:00,20:30,7.000 ₫,3.000 ₫,276,"75,0","8,5"
25,Bến Xe buýt Quận 8 - Khu dân cư Vĩnh Lộc A,Cty Phương Trang,1900638494,Phổ thông,TRUE,"22,30",60,04:30,21:00,6.000 ₫,3.000 ₫,140,"60,0","15,0"
27,Bến xe buýt Sài Gòn - Âu Cơ - Bến xe An Sương,Cty Phương Trang,1900638494,Phổ thông,TRUE,"15,60",40,04:45,21:00,6.000 ₫,3.000 ₫,164,"65,0","12,5"
28,Bến xe buýt Sài Gòn - Chợ Xuân Thới Thượng,Cty Phương Trang,1900638494,Phổ thông,TRUE,"26,45",30,04:45,20:30,7.000 ₫,3.000 ₫,138,"80,0","12,5"
29,Phà Cát Lái - Chợ nông sản Thủ Đức,Cty Phương Trang,1900638494,Phổ thông,TRUE,"20,75",55,05:00,19:30,6.000 ₫,3.000 ₫,162,"70,0","11,5"
30,Chợ Tân Hương - Bến xe buýt Văn Thánh,Cty Phương Trang,1900638494,Phổ thông,TRUE,"18,30",60,05:00,22:00,6.000 ₫,3.000 ₫,154,"50,0","15,0"
31,Đại Học Tôn Đức Thắng - Bến Thành - Đại học Văn Lang,Cty Phương Trang,1900638494,Phổ thông,TRUE,"21,27",60,05:00,22:00,6.000 ₫,3.000 ₫,152,"80,0","15,0"
32,Bến xe Miền Tây - Bến xe Ngã tư Ga,Cty Vinbus,1900866663,Phổ thông,TRUE,"24,80",60,04:00,21:00,6.000 ₫,3.000 ₫,226,"85,0","9,0"
33,Bến xe An Sương - Suối Tiên - Đại học Quốc gia,Cty Vinbus,1900866663,Phổ thông,TRUE,"25,00",60,04:30,22:00,6.000 ₫,3.000 ₫,362,"55,0","9,5"
34,Bến xe buýt Sài Gòn - Bến xe buýt Quận 8,Cty Phương Trang,1900638494,Phổ thông,TRUE,"20,40",30,04:45,22:00,6.000 ₫,3.000 ₫,142,"60,0","15,0"
